Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Kurachove,DON,19950,18984,Kurakhove,XYZ123,NA,NA,NA,NA,NA
Kalynivka,VIN,19226,18907,XYZ123,XYZ123,NA,NA,NA,NA,NA
Polohy,ZAP,19750,18886,XYZ123,XYZ123,NA,NA,NA,NA,NA
Krasyliv,CHM,19679,18868,XYZ123,XYZ123,NA,NA,NA,NA,NA
Kreminna,LUH,20137,18859,Kreminna,XYZ123,NA,NA,NA,NA,NA
Volocysk,CHM,19574,18802,Volochysk,XYZ123,NA,NA,Volochisk,NA,NA
Pjatychatky,DNI,18886,18698,Piatykhatky,XYZ123,NA,NA,NA,NA,NA
Reni,ODE,19315,18530,Reni,XYZ123,NA,NA,Saki,NA,NA
Balta,ODE,19082,18511,XYZ123,XYZ123,NA,NA,Malin,Bar,NA
Dniprorudne,ZAP,19361,18468,Dniprorudne,XYZ123,NA,NA,NA,NA,NA
Amvrosiivka,DON,18682,18159,Amvrosiivka,XYZ123,NA,NA,NA,NA,NA
Vovcansk,CHA,19029,18127,Vovchansk,XYZ123,NA,NA,NA,NA,NA
Derhaci,CHA,18210,17781,Derhachi,XYZ123,NA,NA,NA,NA,NA
Bachmac,CNH,18604,17599,Bakhmach,XYZ123,NA,NA,Buchach,NA,NA
Starobilsk,LUH,17980,16753,Starobilsk,XYZ123,NA,NA,Starobelsk,NA,NA
Vatutine,CKS,17278,16389,Vatutine,XYZ123,NA,NA,NA,NA,NA
